TimeStamp,Event
20250330_193119,"[-1.4822769216115341, -0.5922934842462522, 1.7900858480666972, -1.8429818672867677, 0.6378145930806083, 1.8218904663258915, 0.8589032551102234]"
20250330_193128,"[-1.7271583252849445, -0.8537185991407137, 2.1775688842847076, -1.940071883641869, 0.9375403433803751, 2.165072508259361, 0.6933072221930181]"
20250330_193136,"[-1.4994399039855009, -0.550311292382327, 1.8269893852580603, -1.8472866050537817, 0.5957694985819035, 1.8439355597711735, 0.8849381571332895]"
20250330_193143,"[-1.349159302238207, -0.3472901249212752, 1.1292493130748777, -1.7318205725156317, 0.2969642091223017, 1.481589735942432, 0.5038302205119587]"
20250330_193149,"[-1.464882745291142, -0.27189732307137593, 1.396873387884753, -2.162285135436205, 0.2942052549904699, 1.9960409100568839, 0.5253077065409872]"
20250330_193158,"[-2.2636877092981056, -0.5495941436327674, 2.301380835336577, -2.2634889332782993, 0.6691439122136345, 2.4298799158791855, 0.28697682081745457]"
20250330_193210,"[-1.7629490705247473, 0.1879095100260355, 1.803848031384021, -2.1675109027044703, -0.1880716719561497, 2.0183715771179243, 0.8952923589916484]"
20250330_193216,"[-1.8573021322188743, 0.31065111215104046, 2.0431645981522166, -1.7350964016244432, -0.24725463513043522, 1.4958688898613657, 0.9630242181467352]"
20250330_193224,"[-1.782306081408167, -0.4779888250551241, 2.207583340569638, -1.4126640999016353, 0.43035073349134656, 1.6163002937848123, 1.1773705508346897]"
20250330_193229,"[-1.7921492763726115, -0.6362208845821051, 2.3100978145301303, -1.7187675652655225, 0.5810567194464316, 2.02138004922531, 1.0592226029958063]"
20250330_193234,"[-1.7928779738263327, -0.6357258557315144, 2.3110899210210274, -1.7188368470133069, 0.5802793488526938, 2.021699643759683, 1.059651865170359]"
20250330_193243,"[-1.8510043103143214, 0.31436957300333823, 2.039597982999865, -1.7348845191325166, -0.25077405680480735, 1.494947005584864, 0.9659743580906577]"
20250330_193249,"[-1.985598982486064, 0.45576276079384526, 2.0621227183821347, -2.337739719808716, -0.41156016706162557, 1.9751532878075846, 1.0825378180228364]"
20250330_194809,"[-1.7157965936830442, -0.3293692419490917, 2.142076813589421, -1.868026097441824, 0.34886943808468107, 1.9407689932417007, 1.045673953775033]"
20250330_194818,"[-1.927934883817028, -0.6884872155887987, 2.4206839754255842, -1.9663297702311435, 0.6930989703769246, 2.3044791411368006, 0.8229746425810625]"
20250330_194827,"[-1.7180374813198753, -0.32821075240004083, 2.1448382727395927, -1.8681224484912498, 0.3473918805310401, 1.9411866517510976, 1.0466670289155457]"
20250330_194834,"[-1.8544760702496237, 0.3123075010690206, 2.0415553305621925, -1.7350018191839305, -0.24882312601200596, 1.4954589423082894, 0.9643393379541552]"
20250330_194840,"[-1.748119966866584, 0.19975046812848474, 1.792000106835749, -2.166998788984349, -0.20085271636283952, 2.0162187125539095, 0.9050795208023024]"
20250330_194849,"[-0.8804970939886889, 0.5483380216014337, 0.837897453606014, -2.2658845678821735, -0.6464702809806857, 2.4396309758795223, 1.1931417305236884]"
20250330_194902,"[-1.3830368995107554, -0.18662000797614198, 1.3370532255041763, -2.1668672139414555, 0.20404926712245786, 2.0156617930767293, 0.5941254269166882]"
20250330_194907,"[-1.2904267378427368, -0.3098314130794675, 1.098080631217206, -1.7341874098373853, 0.261950546264869, 1.4919242006766957, 0.5330990041912229]"
20250330_194915,"[-1.631114218014245, -0.6360780345091182, 1.9141567979592304, -1.3951796060654018, 0.6330669854215563, 1.5373340380849623, 1.07031222393507]"
20250330_194920,"[-1.6254716387124897, -0.8001349225043031, 2.0567198533776114, -1.6971946204026214, 0.8035884081489191, 1.9106578854117888, 0.9440507784919356]"
20250330_194926,"[-1.6260614463128322, -0.7992899998344956, 2.057764585163387, -1.6972984186262405, 0.802568487111706, 1.9112533506064313, 0.9445385210638833]"
20250330_194934,"[-1.3871236128003992, -0.3754074689796134, 1.1465017047984478, -1.72989526559338, 0.3227981296224378, 1.473115191638498, 0.4823065853626085]"
20250330_194941,"[-1.2297801690342842, -0.5150809830886494, 1.1303484039877372, -2.33069276535551, 0.48831430757052896, 1.9415971561516239, 0.35755407234608416]"
